% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.131124616e+02 +3.131124616e+02 +4.157224616e+02 +4.157224616e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
7 +2.904301128e+02 +2.904301128e+02 +3.930401128e+02 +3.930401128e+02 -2.5366e-01 +4.7881e-01 -2.9750e-01 -2.2245e-01 -5.9695e-01 -3.6556e-01 +1.2196e+00 +1.0690e-01 -8.0302e-01 -1.8077e+00 +9.4547e-01 -1.3826e+00 +9.4758e-01 -3.9138e-01 +2.2615e-01 +1.0439e+00 -3.2066e-01 +1.5788e-01 +2.3373e-01 -1.8955e+00
154 +2.745113166e+02 +2.745113166e+02 +3.771213166e+02 +3.771213166e+02 +1.4926e+00 -1.1023e+00 +1.6737e+00 -2.7040e-01 +9.6143e-01 -5.5093e-01 -1.3613e+00 -1.0070e+00 +1.3294e+00 +2.5249e+00 -1.2104e+00 -1.1734e+00 +1.4459e+00 +1.4974e+00 -1.3223e+00 -9.2177e-01 -3.8161e-03 -3.4490e-01 -8.0416e-02 +3.1979e+00
235 +2.529880580e+02 +2.529880580e+02 +3.555980580e+02 +3.555980580e+02 +1.8558e+00 +4.1934e-01 +1.0575e+00 +2.5554e+00 +5.0079e-01 -5.3099e-01 -9.1784e-01 -8.1152e-01 +1.0997e+00 +2.2225e+00 +6.7574e-01 -3.5919e-01 -7.2849e-02 +1.3347e+00 -1.7926e+00 -7.3864e-01 -3.3182e-01 +2.6703e-01 -6.5419e-01 +2.4849e+00
261 +2.458946539e+02 +2.458946539e+02 +3.485046539e+02 +3.485046539e+02 +1.3390e+00 +5.8469e-01 +7.4741e-01 +1.9705e+00 +2.5029e-01 -1.6358e+00 -8.5345e-01 -6.2832e-01 +7.2701e-01 +1.3550e+00 +6.5449e-02 -9.0731e-01 -2.1937e-01 +1.6075e+00 -1.3382e+00 -1.4924e+00 -6.4519e-01 +7.8485e-02 -1.0026e-01 +2.4376e+00
268 +1.989536809e+02 +1.989536809e+02 +3.015636809e+02 +3.015636809e+02 +2.0007e+00 +5.8742e-01 +5.9431e-01 +1.9858e+00 -1.7273e-01 -1.6958e+00 -1.0115e+00 -1.0861e+00 +8.0896e-01 +1.3759e+00 -3.9614e-01 -7.6098e-01 -6.0588e-01 +1.7044e+00 -8.1468e-01 -1.7431e+00 -7.6854e-01 -1.5341e-01 -3.0471e-01 +1.9961e+00
321 +1.901021572e+02 +1.901021572e+02 +2.927121572e+02 +2.927121572e+02 +8.1794e-01 +1.1390e+00 +6.3835e-01 +1.5169e+00 -5.0971e-01 -4.1095e-01 -1.2827e+00 -1.8908e+00 -1.1471e+00 +2.0042e+00 -1.5745e+00 +1.1065e+00 -1.0823e+00 -5.8383e-02 +2.9304e-01 -1.2339e+00 -1.2106e+00 +1.3544e-01 +1.9638e+00 +2.8444e+00
781 +1.744794030e+02 +1.744794030e+02 +2.770894030e+02 +2.770894030e+02 +1.2366e+00 -1.1118e-01 -1.4099e+00 +1.9896e+00 +5.3057e-01 -1.4758e+00 -1.4279e-01 -8.4092e-01 -5.7036e-01 +6.9812e-01 -1.1071e+00 -1.7330e-01 -1.5122e+00 +8.8003e-01 -1.1169e+00 -1.0973e+00 -4.6868e-01 -2.8121e-01 +1.4535e-01 +2.0881e+00
3987 +1.714364463e+02 +1.714364463e+02 +2.740464463e+02 +2.740464463e+02 +3.8764e+00 +5.8912e-01 -1.8808e+00 +1.8081e+00 -5.9566e-01 +2.8345e-03 -2.0281e-01 -2.3071e-01 -1.4807e+00 +7.5698e-01 -1.3623e+00 -1.9531e-01 -9.7835e-01 +7.9607e-01 -2.0170e+00 -2.8261e-01 +2.7630e-01 +1.0796e+00 +8.1571e-01 +1.2680e+00
3998 +1.656880645e+02 +1.656880645e+02 +2.682980645e+02 +2.682980645e+02 +3.8835e+00 +5.9563e-01 -1.9001e+00 +1.8067e+00 -5.9060e-01 +5.4107e-03 -2.0753e-01 -2.3685e-01 -1.4693e+00 +7.7005e-01 -1.3863e+00 -1.8939e-01 -9.8192e-01 +8.1197e-01 -1.9936e+00 -3.0548e-01 +2.8578e-01 +1.0870e+00 +8.2509e-01 +1.2785e+00
