% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +3.900661284e+02 +3.900661284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.962072079e+02 +3.962072079e+02 +3.869972079e+02 +3.869972079e+02 -6.7151e-01 -6.9613e-01 +7.4164e-01 +2.0336e+00 -4.9397e-01 -2.9237e-01 +8.1022e-01 -7.8580e-01 +7.5030e-02 +1.1876e+00 -5.8353e-01 -2.9720e+00 -8.1765e-01 -1.0777e+00 +1.0600e+00 -1.0597e+00 +3.0481e-01 +4.3517e-01 -3.9209e-01 -1.0388e+00
5 +3.886689108e+02 +3.886689108e+02 +3.794589108e+02 +3.794589108e+02 +4.4832e-01 +5.1870e-01 -3.1913e-01 -1.6711e-01 -7.0301e-01 +1.4844e+00 +4.7401e-01 -7.8420e-01 -4.7174e-02 -3.1645e-01 -1.4536e+00 +1.8511e+00 +5.6005e-01 -1.2092e+00 +1.0788e+00 +4.9285e-02 +1.1080e+00 +3.8554e-01 -1.6146e-01 +6.0054e-01
12 +3.725752720e+02 +3.725752720e+02 +3.633652720e+02 +3.633652720e+02 +4.4060e-01 +6.3095e-01 +4.4565e-01 +2.1498e+00 +3.3493e-01 -8.5015e-01 +1.0654e+00 -1.3706e+00 +8.6397e-01 -3.3442e+00 +1.6516e+00 -1.8020e+00 -9.7404e-01 +1.2304e+00 -1.9014e-01 +3.4506e-01 +1.2779e+00 +1.2049e+00 -4.9230e-01 -1.1919e+00
13 +3.405436994e+02 +3.405436994e+02 +3.313336994e+02 +3.313336994e+02 -1.3742e-01 -9.6380e-01 +3.0223e+00 +2.3178e+00 +2.0223e+00 +5.7564e-02 +1.8496e+00 -3.7355e+00 +6.9133e-01 -4.5817e+00 +6.6989e-01 -6.2700e-01 -1.3986e+00 +8.7669e-01 -1.1461e+00 -8.3509e-01 +3.7004e+00 +2.4384e-01 +4.6461e-01 +1.2094e+00
22 +3.385300674e+02 +3.385300674e+02 +3.293200674e+02 +3.293200674e+02 -6.6927e-01 -1.5791e+00 +1.7406e+00 +2.8036e+00 +1.2759e+00 +4.6548e-01 +2.3102e+00 -5.3914e+00 +1.0251e+00 -4.0242e+00 +1.2444e+00 -7.7886e-01 -1.2175e+00 -3.2267e-01 -1.1281e+00 -7.6926e-02 +5.0693e+00 +1.2760e+00 -7.3504e-02 +7.2450e-01
25 +3.299506909e+02 +3.299506909e+02 +3.207406909e+02 +3.207406909e+02 -2.5795e-01 -6.2237e-01 +2.5944e+00 +1.4222e+00 +2.2728e+00 +1.5768e+00 +3.7417e+00 -2.5487e+00 +1.8062e+00 -2.6138e+00 -7.0893e-01 +8.7024e-01 +6.1113e-01 +2.8373e-01 -3.6752e-01 -9.9372e-01 +3.9379e+00 +4.6026e-01 +1.8634e+00 +2.5729e+00
31 +3.194122385e+02 +3.194122385e+02 +3.102022385e+02 +3.102022385e+02 -5.5024e-01 -8.4433e-01 +6.0851e-01 +1.0021e+00 +1.7735e+00 +4.3634e-01 +1.7800e+00 -3.3074e+00 +3.1023e+00 -5.1362e+00 +6.6491e-01 -2.4261e-01 -6.1670e-01 +2.1786e+00 -5.5963e-02 -1.4899e+00 +3.3655e+00 -2.3494e-01 -2.8949e-01 +2.2038e+00
35 +3.044434427e+02 +3.044434427e+02 +2.952334427e+02 +2.952334427e+02 -3.7862e-01 +4.0256e-01 +2.4943e-01 +1.6763e+00 +2.0835e+00 +1.7623e+00 +2.5326e+00 -2.7918e+00 +4.7524e+00 -4.9484e+00 +2.6970e+00 +3.5141e-01 +2.1360e-03 +9.6646e-01 +1.0483e+00 -2.7652e+00 +2.8853e+00 +1.5180e-04 -9.7187e-01 +3.1938e+00
37 +3.005427792e+02 +3.005427792e+02 +2.913327792e+02 +2.913327792e+02 +9.3114e-02 -1.5608e+00 +1.0627e+00 +2.9761e+00 +1.4638e+00 +1.5180e+00 +7.3421e-01 -2.8658e+00 +3.0594e+00 -5.2842e+00 +2.7821e+00 -8.8167e-02 +1.3382e+00 +1.3522e+00 -2.7618e-01 -9.8179e-01 +3.0885e+00 -5.2322e-01 -1.2661e+00 +3.7202e+00
